success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,participant,timeout,failed_images,failed_audio,failed_video,stimulus,response,condition,category,level,selection_array,selection_index,rt_array,selection_type_array,final_choice_array,final_rt,file_name
NA,NA,html-button-response,10,2.0.0,106678,p0dl5tzjk4h,Beaver,NA,NA,NA,NA,"<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some zoms. Can you give Mr. Frog all the other zoms?</p>
                                 <p>Click on all of the zoms below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the zoms.</p>",NA,3-item,vehicles,subordinate,"[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","[5,9]","[6939,8868]","[""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]",13918,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0dl5tzjk4h_1732223898556.csv
NA,NA,html-button-response,11,2.0.0,117852,p0dl5tzjk4h,Beaver,NA,NA,NA,NA,"<img src=""stimuli/c2_bas1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_bas2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some sibs. Can you give Mr. Frog all the other sibs?</p>
                                 <p>Click on all of the sibs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the sibs.</p>",NA,3-item,vehicles,basic,"[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg""]","[8,4,15,20]","[4523,5468,7271,8802]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg""]",11168,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0dl5tzjk4h_1732223898556.csv
NA,NA,html-button-response,12,2.0.0,134674,p0dl5tzjk4h,Beaver,NA,NA,NA,NA,"<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_bas1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_bas2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some wugs. Can you give Mr. Frog all the other wugs?</p>
                                 <p>Click on all of the wugs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the wugs.</p>",NA,3-item,animals,basic,"[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]","[3,5,14,13]","[6693,7882,10351,11020]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]",16815,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0dl5tzjk4h_1732223898556.csv
NA,NA,html-button-response,13,2.0.0,147298,p0dl5tzjk4h,Beaver,NA,NA,NA,NA,"<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_bas2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_bas1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some tobs. Can you give Mr. Frog all the other tobs?</p>
                                 <p>Click on all of the tobs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the tobs.</p>",NA,3-item,vegetables,basic,"[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]","[3,4,8,23]","[4353,5090,6720,9575]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]",12618,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0dl5tzjk4h_1732223898556.csv
NA,NA,html-button-response,14,2.0.0,171860,p0dl5tzjk4h,Beaver,NA,NA,NA,NA,"<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some feps. Can you give Mr. Frog all the other feps?</p>
                                 <p>Click on all of the feps below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the feps.</p>",NA,3-item,vehicles,superordinate,"[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]","[16,5,12,18,21,22,23,6]","[13578,14671,16079,17706,19055,19684,20369,22324]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]",24556,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0dl5tzjk4h_1732223898556.csv
NA,NA,html-button-response,15,2.0.0,185209,p0dl5tzjk4h,Beaver,NA,NA,NA,NA,"<img src=""stimuli/c3_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some rabs. Can you give Mr. Frog all the other rabs?</p>
                                 <p>Click on all of the rabs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the rabs.</p>",NA,3-item,animals,superordinate,"[""stimuli/c3_sup4.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_sup6.jpg"",""stimuli/c3_sup5.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_sup3.jpg""]","[4,9,15,13,12,18,22,21]","[5940,6740,7542,8452,9185,10439,11795,12473]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c3_sup4.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_sup6.jpg"",""stimuli/c3_sup5.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_sup3.jpg""]",13342,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0dl5tzjk4h_1732223898556.csv
NA,NA,html-button-response,16,2.0.0,195360,p0dl5tzjk4h,Beaver,NA,NA,NA,NA,"<img src=""stimuli/c3_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some tevs. Can you give Mr. Frog all the other tevs?</p>
                                 <p>Click on all of the tevs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the tevs.</p>",NA,3-item,animals,subordinate,"[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg""]","[9,19]","[7466,8994]","[""select"",""select""]","[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg""]",10145,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0dl5tzjk4h_1732223898556.csv
NA,NA,html-button-response,17,2.0.0,200994,p0dl5tzjk4h,Beaver,NA,NA,NA,NA,"<img src=""stimuli/c1_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some meps. Can you give Mr. Frog all the other meps?</p>
                                 <p>Click on all of the meps below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the meps.</p>",NA,3-item,vegetables,subordinate,"[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg""]","[1,19]","[1740,3786]","[""select"",""select""]","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg""]",5627,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0dl5tzjk4h_1732223898556.csv
NA,10218,html-keyboard-response,18,2.0.0,211215,p0dl5tzjk4h,Beaver,NA,NA,NA,NA,"
      <p>Thank you for playing! This was a big help for Mr. Frog!</p>
      <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
      <p><i>Debrief</i>: In this experiment, we wanted to see how people learn subordinate word meanings (e.g., “dalmatian”) when</p>
      <p>superordinate (e.g., “animal”) and basic-level (e.g., “dog”) meanings can also be reasonable label referents.</p>
      <p>We thought that when presented with three subordinate exemplars (aka the trials with three images), a word will be generalized</p>
      <p>to the subordinate level more often than when presented with one subordinate exemplar (aka the trials with one image).</p>
      <p><b>*Please press any key to save data.*</b></p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0dl5tzjk4h_1732223898556.csv
TRUE,1114,fullscreen,0,null,2118,p0go4ncrpwf,panda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
TRUE,NA,preload,1,2.0.0,2989,p0go4ncrpwf,panda,FALSE,[],[],[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
NA,1187,html-keyboard-response,2,2.0.0,4176,p0go4ncrpwf,panda,NA,NA,NA,NA,Welcome to the experiment. Press any key to begin.,Enter,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
NA,6919,survey-text,3,2.0.0,11103,p0go4ncrpwf,panda,NA,NA,NA,NA,NA,"{""participant_id"":""panda""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
NA,10041,html-keyboard-response,4,2.0.0,21145,p0go4ncrpwf,panda,NA,NA,NA,NA,"
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
",Enter,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
NA,9443,html-keyboard-response,5,2.0.0,30590,p0go4ncrpwf,panda,NA,NA,NA,NA,"
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
",Enter,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
NA,NA,html-button-response,6,2.0.0,52986,p0go4ncrpwf,panda,NA,NA,NA,NA,"<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a tob. Can you give Mr. Frog all the other tobs?</p>
              <p>Click on all of the tobs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the tobs.</p>",NA,1-item,vehicles,one-subordinate,"[""stimuli/c1_sup3.jpg""]",[16],[21341],"[""select""]","[""stimuli/c1_sup3.jpg""]",22392,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
NA,NA,html-button-response,7,2.0.0,66636,p0go4ncrpwf,panda,NA,NA,NA,NA,"<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a fep. Can you give Mr. Frog all the other feps?</p>
              <p>Click on all of the feps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the feps.</p>",NA,1-item,animals,one-subordinate,"[""stimuli/c3_sup6.jpg""]",[17],[12417],"[""select""]","[""stimuli/c3_sup6.jpg""]",13647,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
NA,NA,html-button-response,8,2.0.0,73824,p0go4ncrpwf,panda,NA,NA,NA,NA,"<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a sib. Can you give Mr. Frog all the other sibs?</p>
              <p>Click on all of the sibs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the sibs.</p>",NA,1-item,vegetables,one-subordinate,"[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]","[1,2,3,19]","[3163,3601,4035,5918]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]",7186,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
NA,NA,html-button-response,9,2.0.0,87323,p0go4ncrpwf,panda,NA,NA,NA,NA,"<img src=""stimuli/c2_bas1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_bas2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some meps. Can you give Mr. Frog all the other meps?</p>
                                 <p>Click on all of the meps below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the meps.</p>",NA,3-item,vehicles,basic,"[""stimuli/c2_sup5.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sup5.jpg"",""stimuli/c2_sup4.jpg""]","[6,7,6,15]","[4480,5798,6382,8771]","[""select"",""select"",""unselect"",""select""]","[""stimuli/c2_sup3.jpg"",""stimuli/c2_sup4.jpg""]",13495,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
NA,NA,html-button-response,10,2.0.0,100956,p0go4ncrpwf,panda,NA,NA,NA,NA,"<img src=""stimuli/c1_bas1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_bas2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some zoms. Can you give Mr. Frog all the other zoms?</p>
                                 <p>Click on all of the zoms below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the zoms.</p>",NA,3-item,vegetables,basic,"[""stimuli/c1_sup6.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c3_sup6.jpg"",""stimuli/c3_sup4.jpg"",""stimuli/c3_sup4.jpg"",""stimuli/c3_sup6.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup6.jpg""]","[3,2,1,0,0,1,2,3,3]","[3968,4413,4881,5247,5680,6084,7097,8864,10530]","[""select"",""select"",""select"",""select"",""unselect"",""unselect"",""unselect"",""unselect"",""select""]","[""stimuli/c1_sup6.jpg""]",13630,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
NA,NA,html-button-response,11,2.0.0,104956,p0go4ncrpwf,panda,NA,NA,NA,NA,"<img src=""stimuli/c2_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some tobs. Can you give Mr. Frog all the other tobs?</p>
                                 <p>Click on all of the tobs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the tobs.</p>",NA,3-item,vehicles,subordinate,"[""stimuli/c2_sup4.jpg""]",[12],[2798],"[""select""]","[""stimuli/c2_sup4.jpg""]",3997,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
NA,NA,html-button-response,12,2.0.0,110006,p0go4ncrpwf,panda,NA,NA,NA,NA,"<img src=""stimuli/c2_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some rifs. Can you give Mr. Frog all the other rifs?</p>
                                 <p>Click on all of the rifs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the rifs.</p>",NA,3-item,vehicles,superordinate,"[""stimuli/c3_bas3.jpg""]",[23],[3682],"[""select""]","[""stimuli/c3_bas3.jpg""]",5047,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
NA,NA,html-button-response,13,2.0.0,128243,p0go4ncrpwf,panda,NA,NA,NA,NA,"<img src=""stimuli/c1_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some tevs. Can you give Mr. Frog all the other tevs?</p>
                                 <p>Click on all of the tevs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the tevs.</p>",NA,3-item,vegetables,superordinate,"[""stimuli/c1_sup4.jpg"",""stimuli/c1_sup3.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sup5.jpg""]","[7,0,1,3,16,20,18]","[9309,10095,11214,11979,12548,14181,17082]","[""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c1_sup4.jpg"",""stimuli/c1_sup3.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sup5.jpg""]",18234,/Users/martincz/GitHub/COGS119/group_fa24_suspicious_coincidence/analysis/../data/raw_data/p0go4ncrpwf_1732496928274.csv
